kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,BNTX,2021-09-28,290.45,29.25,2021-09-21,341.69,5.0,4.25,-1498.86,-1503.1,-15.04,5,rotation (out of top-N),2021-09-20,330.38,,5,-1,,66.0,,999,2021-09-27,251.96,,4.83,0.8,,24.16,,999
SELL,2,PVLA,2021-10-05,410.4,22.68,2021-09-21,440.81,5.0,4.65,-689.78,-694.43,-6.94,10,rotation (out of top-N),2021-09-20,450.8,,5,-0.8,,73.95,,105,2021-10-04,379.2,,5,-0.0,,41.18,,119
SELL,3,CNR,2021-09-28,23.82,13.25,2021-09-21,22.24,0.15,0.16,20.93,20.77,7.05,5,equal-weight sizing trim,2021-09-20,22.68,,5,-1,,67.92,,999,2021-09-27,26.07,,5,-1,,86.12,,999
SELL,3,CNR,2021-10-05,30.62,74.15,2021-09-21,22.24,0.82,1.14,621.4,620.26,37.61,10,equal-weight sizing trim,2021-09-20,22.68,,5,-1,,67.92,,999,2021-10-04,31.26,,5,-1,,113.78,,999
SELL,3,CNR,2021-10-26,27.88,407.86,2021-09-21,23.28,4.75,5.69,1875.7,1870.01,19.69,25,rotation (out of top-N),2021-09-20,22.68,,5,-1,,67.92,,999,2021-10-25,25.34,,5,-0.9,,57.41,,999
SELL,4,HRI,2021-09-28,149.17,14.87,2021-09-21,118.26,0.88,1.11,459.58,458.47,26.07,5,equal-weight sizing trim,2021-09-20,146.68,,5,-0.8,,55.79,,999,2021-09-27,156.86,,5,-1,,62.46,,999
SELL,4,HRI,2021-10-05,158.7,69.65,2021-09-21,118.26,4.12,5.53,2816.6,2811.07,34.13,10,rotation (out of top-N),2021-09-20,146.68,,5,-0.8,,55.79,,999,2021-10-04,153.2,,5,-0.7,,54.97,,999
SELL,5,CAR,2021-09-28,115.31,18.71,2021-09-21,91.86,0.86,1.08,438.66,437.58,25.47,5,equal-weight sizing trim,2021-09-20,106.1,,5,-0.7,,53.66,,999,2021-09-27,115.78,,5,-1,,62.92,,999
SELL,5,CAR,2021-10-12,135.98,5.28,2021-09-21,93.34,0.25,0.36,225.01,224.65,45.61,15,equal-weight sizing trim,2021-09-20,106.1,,5,-0.7,,53.66,,999,2021-10-11,143.54,,5,-1,,88.45,,999
SELL,5,CAR,2021-10-19,151.91,1.99,2021-09-21,93.34,0.09,0.15,116.75,116.6,62.67,20,equal-weight sizing trim,2021-09-20,106.1,,5,-0.7,,53.66,,999,2021-10-18,159.61,,5,-1,,101.44,,999
